c-fyns,, ,15 Feb 2024,Toronto (YYZ),—,AC1205,-,00:21,—,—,,Unknown,KML CSV Play, 
c-fyns,, ,14 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:41,21:00,21:37,00:20,,Landed 00:19,KML CSV Play, 
c-fyns,, ,14 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,2:41,16:25,17:09,19:50,,Landed 19:50,KML CSV Play, 
c-fyns,, ,14 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:43,11:30,11:47,14:50,,Landed 14:30,KML CSV Play, 
c-fyns,, ,14 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:45,07:00,07:38,10:25,,Landed 10:23,KML CSV Play, 
c-fyns,, ,13 Feb 2024,San Diego (SAN),Toronto (YYZ),AC1094,4:05,12:40,13:29,20:20,,Landed 20:34,KML CSV Play, 
c-fyns,, ,13 Feb 2024,Toronto (YYZ),San Diego (SAN),AC1093,5:00,09:00,10:17,11:40,,Landed 12:17,KML CSV Play, 
c-fyns,, ,12 Feb 2024,Orlando (MCO),Toronto (YYZ),AC1091,2:07,21:05,21:15,23:56,,Landed 23:21,KML CSV Play, 
c-fyns,, ,12 Feb 2024,Toronto (YYZ),Orlando (MCO),AC1088,2:41,16:25,16:45,19:23,,Landed 19:26,KML CSV Play, 
c-fyns,, ,12 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:36,11:30,12:14,14:50,,Landed 14:50,KML CSV Play, 
c-fyns,, ,12 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,3:06,07:00,07:44,10:25,,Landed 10:49,KML CSV Play, 
c-fyns,, ,11 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:33,21:00,21:19,00:20,,Landed 23:52,KML CSV Play, 
c-fyns,, ,11 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,2:54,16:25,16:45,19:50,,Landed 19:39,KML CSV Play, 
c-fyns,, ,11 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:36,11:30,11:42,14:50,,Landed 14:17,KML CSV Play, 
c-fyns,, ,11 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:50,07:00,07:24,10:25,,Landed 10:14,KML CSV Play, 
c-fyns,, ,10 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:37,21:00,21:00,00:20,,Landed 23:37,KML CSV Play, 
c-fyns,, ,10 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,2:51,16:25,16:41,19:50,,Landed 19:32,KML CSV Play, 
