1347,AT76,F-ORMU,Air Moana,Aug 2016 (7 years),
08031,A20N,EI-SID,SAS,Jan 2018 (6 years),
717,A306,EI-OZL,DHL,Oct 1993 (30 years),
42662,B38M,N8812Q,Southwest Airlines,Jan 2020 (4 years),
340B-417,SF34,N417XJ,Z Air,May 1997 (26 years),
29430,B763,N233AZ,Amazon Air,Apr 1998 (25 years),
0957,A332,B-6505,Air China,Sep 2008 (15 years),
28643,B738,N733KA,KaiserAir,Apr 2001 (22 years),
41807,B738,C-FYJD,Sunwing Airlines,May 2015 (8 years),
1587,A333,B-5958,Air China,2014 (10 years),
63166,B738,G-JZBI,Jet2,Feb 2018 (6 years),
37981,B789,G-VNYL,Virgin Atlantic,Mar 2018 (6 years),
19000464,E195,OE-LWG,Austrian Airlines,Aug 2011 (12 years),
4109,DH8D,JA851A,All Nippon Airways,Jul 2005 (18 years),
7649,CRJ2,N468CA,United Airlines,May 2002 (21 years),
36908,B738,N8614M,Southwest Airlines,Apr 2013 (10 years),
1084,A333,HB-JHE,Swiss,Dec 2009 (14 years),
1762,A332,761,Singapore - Air Force,Nov 2016 (7 years),
4113,DH8D,G-JECK,Private owner,Nov 2005 (18 years),
07753,A20N,VT-WGK,Go First,Oct 2017 (6 years),
61178,B738,TC-SEO,SunExpress,Feb 2016 (8 years),
0704,AT75,SP-SPN,SprintAir,Feb 2003 (21 years),
7730,CRJ2,N703SA,Tri-State Charter,Jan 2003 (21 years),
44853,B738,EI-GXG,Ryanair,Sep 2018 (5 years),
24739,B752,TF-FIH,Icelandair Cargo,Mar 1990 (34 years),
08240,A20N,N775AV,Avianca,May 2018 (5 years),
31921,B739,N807DN,Delta Air Lines,Oct 2013 (10 years),
1530,AT76,RP-C7290,Cebu Pacific,Oct 2018 (5 years),
35662,B744,N573UP,UPS,Mar 2008 (16 years),
43883,B738,B-6800,Lucky Air,Aug 2015 (8 years),
19000064,E190,4L-TGU,Georgian Airways,2007 (17 years),
55145,BCS3,YI-ARF,Iraqi Airways,Nov 2021 (2 years),
7796,CRJ2,9J-PFA,Proflight Zambia,2003 (21 years),
42550,B38M,N8731J,Southwest Airlines,Dec 2018 (5 years),
43796,B38M,C-FHCM,WestJet,Feb 2019 (5 years),
35280,B738,LN-NOD,Norwegian,May 2008 (15 years),
08678,A21N,VN-A619,Vietnam Airlines,Jan 2019 (5 years),
29858,B737,A6-DAS,Royal Jet,Mar 2000 (24 years),
08467,A20N,EC-NAE,Vueling,Sep 2018 (5 years),
41384,B738,B-6063,Hainan Airlines,Aug 2015 (8 years),
7448,CRJ2,N701BR,United Airlines,Oct 2000 (23 years),
28940,B737,N23721,United Airlines,Feb 1999 (25 years),
25484,B752,N468UP,UPS,Sep 1997 (26 years),
17000556,E75L,N154SY,United Airlines,Apr 2016 (7 years),
28245,B738,RA-73408,S7 Airlines,Jan 2002 (22 years),
65309,B77W,RA-73146,Aeroflot,Mar 2019 (5 years),
17000505,E75L,N213NN,American Airlines,Sep 2015 (8 years),
36009,B77W,A7-BAA,Qatar Airways,Nov 2007 (16 years),
63059,B738,B-1262,Shanghai Airlines,Mar 2018 (6 years),
07606,A20N,VT-TNB,Vistara,May 2017 (6 years),
7359,CRJ1,UP-CJ010,SkyBus,Dec 1999 (24 years),
38019,B738,JA73NF,Skymark Airlines,Apr 2011 (12 years),
30095,B738,N968AN,American Airlines,Jun 2001 (22 years),
8105,CRJ2,RA-67233,Tulpar Air,2009 (15 years),
65408,B38M,YI-ASZ,Iraqi Airways,Apr 2023 (Brand new),
1175,A332,B-LNV,Hong Kong Air Cargo,Mar 2012 (12 years),
60186,B38M,N1808U,Southwest Airlines,Mar 2019 (5 years),
10512,A20N,N380FR,Frontier,Apr 2021 (2 years),
25370,B752,N425UP,UPS,Nov 1991 (32 years),
11058,A21N,F-WWBZ,Airbus,Sep 2022 (1 year),
38073,B738,PK-GMU,Garuda Indonesia,Feb 2012 (12 years),
00973,A320,9H-SLA,SmartLynx,Feb 1999 (25 years),
145404,E145,UR-DNF,Windrose Airlines,Mar 2001 (23 years),
33832,B737,N473WN,Southwest Airlines,Jul 2004 (19 years),
0841,AT75,9N-ANP,Buddha Air,Dec 2008 (15 years),
39257,B737,VH-NHW,Virgin Australia,Sep 2011 (12 years),
41363,B77W,A6-ENQ,Emirates,Apr 2014 (9 years),
340A-060,SF34,N611BC,IBC Airways,1986 (38 years),
42561,B37M,N7201S,Boeing,Mar 2018 (6 years),
0751,AT75,9N-AMY,Buddha Air,May 2007 (16 years),
0222,A332,HL7538,Korean Air,Jul 1998 (25 years),
4583,DH8D,VT-SQA,SpiceJet,Jun 2018 (5 years),
00463,A320,N410UA,United Airlines,Jan 1994 (30 years),
10052,A20N,EC-NIY,Vueling,Apr 2020 (3 years),
